MODELO,PROCESADOR,ROM,RAM (GB),MICROSD,SIM,TAMAÑO PANTALLA (in), RESOLUCION PANTALLA,BATERIA (mAh),PESO (g),FECHA LANZAMIENTO,CAMARA FRONTAL,PRECIOS
iPhone SE (2nd Gen),A13 Bionic,"64 GB, 128 GB, 256 GB",3,Non,"(Dual) Nano-SIM, eSIM",4.7,1334x750,1.821,148,4/24/2020,Oui 7 MP f/2.2,540
iPhone 11,Apple A13 Bionic,"64 GB, 128 GB, 256 GB",4,Non,"Nano-SIM, eSIM",6.1,1792x828,3110,194,9/20/2019,Oui 12 MP,849
iPhone 11 Pro,Apple A13 Bionic,"64 GB, 256 GB, 512 GB",4,Non,"Nano-SIM, eSIM",5.8,2436x1125,3046,188,9/20/2019,Oui 12 MP,1149
iPhone 11 Pro Max,Apple A13 Bionic,"64 GB, 256 GB, 512 GB",4,Non,"Nano-SIM, eSIM",6.5,2688x1242,3969,226,9/20/2019,Oui 12 MP,1249
iPhone XR,Apple A12 Bionic,"64 GB, 128 GB, 256 GB",3,Non,"Nano-SIM, eSIM",6.1,1792x828,2942,194,10/26/2018,Oui 7 MP,749
iPhone XS,Apple A12 Bionic,"64 GB, 256 GB, 512 GB",4,Non,"Nano-SIM, eSIM",5.8,2436x1125,2658,177,9/28/2018,Oui 7 MP,999
iPhone XS Max,Apple A12 Bionic,"64 GB, 256 GB, 512 GB",4,Non,"Nano-SIM, eSIM",6.5,2688x1242,3174,208,9/28/2018,Oui 7 MP,1099
iPhone X,Apple A11 Bionic,"64 GB, 256 GB",3,Non,Nano-SIM,5.8,2436x1125,2.716,174,10/27/2017,Oui 7 MP,999
iPhone 8 Plus,Apple A11 Bionic,"64 GB, 128 GB, 256 GB",3,Non,Nano-SIM,5.5,1920x1080,2.675,202,9/15/2017,Oui 7 MP,799
iPhone 8,Apple A11 Bionic,"64 GB, 256 GB",2,Non,Nano-SIM,4.7,1334x750,1821,148,9/15/2017,Oui 7 MP,699
iPhone 7 Plus,Apple A10 Fusion (64bit),128 GB,3,Non,Nano-SIM,5.5,1920x1080,2900,188,9/16/2016,Oui 7 MP,809
iPhone 7,Apple A10 Fusion (64bit),32 GB 128 GB,2,Non,Nano-SIM,4.7,1334x750,1960,138,9/16/2016,Oui 7 MP,715
iPhone SE,"Apple A9, 64bit","16 GB, 64 GB",2,Non,Nano-SIM,4,1136x640,1624,113,3/24/2016,Oui 1.2MP,449
iPhone 6s Plus,"Apple A9, 64bit","16 GB, 64 GB, 128 GB",2,Non,Nano-SIM,5.5,1920x1080,2750,192,9/12/2015,Oui 5 MP,783
iPhone 6s,"Apple A9, 64bit","16 GB, 64 GB, 128 GB",2,Non,Nano-SIM,4.7,1334x750,1715,143,9/12/2015,Oui 5MP,689
iPhone 6 Plus,"Apple A8, 64bit","16 GB, 64 GB, 128 GB",1,Non,Nano-SIM,5.5,1920x1080,2915,172,9/9/2014,Oui 1.2 MP,700
iPhone 6,"Apple A8, 64bit","16 GB , 64 GB, 128 GB",1,Non non disponible,Nano-SIM,4.7,1334x750 ecran retina HD,1810,129,9/9/2014,Oui 2 MP,688
iPhone 5S,"Apple A7 1.3Ghz dual core, 64bit","16 GB, 32GB, 64GB",1,Non,Nano-SIM,4,1136x640,1570,112,9/10/2013,Oui 1.2 MP,770
iPhone 5C,"Apple A6 1Ghz dual-core, 32bit","16 GB, 32GB",1,Non,Nano-SIM,4,1136x640,1507,132,9/10/2013,Oui 1.2 MP,584
iPhone 5,"Apple A6 1Ghz dual-core, 32bit",16 GO - 32 GO - 64 GO,1,Non,Nano-SIM,4,1136x640,1440,112,9/21/2012,Oui 1.2 MP,708
iPhone 4S,"Apple A5 dual core, 32bit",16 GB - 64 GB,1,Non,micro-SIM,3.5,960x640,1432,140,10/14/2011,Oui 0.3 MP,722
iPhone 4,"Apple A4 1Ghz, 32bit",16 GB - 32 GB,0.512,Non,micro-SIM,3.5,960x640,1420,138,6/24/2010,Oui 0.3 MP,692
iPhone 3GS,"ARM 600MHz, 32bit",16 GB - 32 GB,0.256,Non,Mini SIM,3.5,320x480,1219,135,6/19/2009,Non,700
