Zona;Provincia;Canton;Distrito;Circuito;Fecha Infraccion;Hora_Infraccion;tipo_muert_matriz;Edad;Sexo;Estado Civil;Nacionalidad;Numero_asesinatos;Tipo_Arma;Presunta_Motivacion
ZONA 1;ESMERALDAS;ESMERALDAS;ESMERALDAS;CENTRO;30/4/2014;13:40;Homicidios;22;MASCULINO;SOLTERO;ECUADOR;21;OTROS ARMA CORTA;RIÑAS
ZONA 6;AZUAY;SEVILLA_DE_ORO;PAUTE;SEVILLA DE ORO;30/4/2014;;Homicidios;51;MASCULINO;SOLTERO;ECUADOR;16;REVOLVER            ;RIÑAS
ZONA 5;LOS_RIOS;QUEVEDO;QUEVEDO;DIVINO NINO;2/5/2014;4:30;Femicidios;36;FEMENINO;SOLTERO;ECUADOR;14;CUCHILLO            ;RIÑAS
ZONA 8;GUAYAS;GUAYAQUIL;FLORIDA;MAPASINGUE;2/5/2014;1:00;Asesinatos;17;MASCULINO;SOLTERO;ECUADOR;1;OBJETO CONTUSO;RIÑAS
ZONA 7;LOJA;GONZANAMA;CALVAS;GONZANAMA;3/5/2014;19:50;Asesinatos;20;MASCULINO;SOLTERO;ECUADOR;9;MACHETE             ;RIÑAS
ZONA 5;LOS_RIOS;VINCES;VINCES;ABRAS DE MANTEQUILLA;3/5/2014;23:00;Asesinatos;38;MASCULINO;SOLTERO;ECUADOR;1;ESCOPETA            ;RIÑAS
ZONA 3;COTOPAXI;LATACUNGA;LATACUNGA;TERMINAL TERRESTRE;1/5/2014;21:00;Asesinatos;24;MASCULINO;SOLTERO;ECUADOR;6;CUCHILLO            ;ROBO A PERSONAS
ZONA 2;PICHINCHA;RUMINAHUI;RUMINAHUI - MEJIA;SAN RAFAEL;4/5/2014;19:15;Asesinatos;65;MASCULINO;CASADO;ECUADOR;4;PISTOLA             ;AMENAZA
ZONA 6;AZUAY;GIRON;GIRON;GIRON;3/5/2014;;Asesinatos;82;FEMENINO;VIUDO;ECUADOR;1;PALO;RIÑAS
ZONA 8;GUAYAS;GUAYAQUIL;PORTETE;CISNE;4/5/2014;23:00;Asesinatos;21;MASCULINO;SOLTERO;ECUADOR;0;CUCHILLO            ;RIÑAS
ZONA 8;GUAYAS;GUAYAQUIL;FLORIDA;MARTHA DE ROLDOS;3/5/2014;19:23;Homicidios;28;MASCULINO;SOLTERO;ECUADOR;0;CUCHILLO            ;RIÑAS
ZONA 8;GUAYAS;GUAYAQUIL;9 DE OCTUBRE;ANTEPARA;3/5/2014;22:00;Homicidios;53;MASCULINO;SOLTERO;ECUADOR;0;PALO;RIÑAS
ZONA 8;GUAYAS;GUAYAQUIL;ESTEROS;TRINITARIA SUR;4/5/2014;2:30;Homicidios;19;MASCULINO;SOLTERO;ECUADOR;2;PISTOLA             ;AMENAZA
ZONA 9;PICHINCHA;QUITO;ELOY ALFARO;MAGDALENA;5/5/2014;5:45;Homicidios;27;MASCULINO;SOLTERO;ECUADOR;17;CUCHILLO            ;TRAFICO INTERNOS DE DROGAS (MICROTRAFICO)
ZONA 3;CHIMBORAZO;RIOBAMBA;RIOBAMBA;QUIMIAG;30/4/2014;0:00;Homicidios;18;FEMENINO;SOLTERO;ECUADOR;1;MACHETE             ;LITIGIO DE TIERRAS
ZONA 8;GUAYAS;GUAYAQUIL;ESTEROS;TRINITARIA NORTE;5/5/2014;12:00;Asesinatos;26;MASCULINO;SOLTERO;ECUADOR;14;REVOLVER            ;ROBO A DOMICILIOS
ZONA 5;LOS_RIOS;QUEVEDO;QUEVEDO;CONTROL;5/5/2014;22:20;Asesinatos;27;MASCULINO;SOLTERO;ECUADOR;4;OBJETO CONTUSO;RIÑAS
ZONA 5;LOS_RIOS;SAN_JACINTO_DE_BUENA_FE;BUENA FE;BUENA FE ESTE;6/5/2014;20:31;Asesinatos;20;MASCULINO;SOLTERO;ECUADOR;8;ROCA;RIÑAS
ZONA 5;LOS_RIOS;QUEVEDO;QUEVEDO;GALO PLAZA;14/1/2014;11:16;Asesinatos;13;MASCULINO;SOLTERO;ECUADOR;3;CARTUCHERA          ;AMENAZA
ZONA 2;ORELLANA;PUERTO_FRANCISCO_DE_ORELLANA;ORELLANA LORETO;NUEVO PARAISO;26/1/2014;5:00;Asesinatos;31;MASCULINO;SOLTERO;ECUADOR;5;CARTUCHERA          ;EMOCIONAL
ZONA 9;PICHINCHA;QUITO;MANUELA SAENZ;ITCHIMBIA;7/5/2014;17:45;Homicidios;59;MASCULINO;CASADO;ECUADOR;5;CUCHILLO            ;RIÑAS
ZONA 9;PICHINCHA;QUITO;MANUELA SAENZ;SAN JUAN;8/5/2014;14:00;Homicidios;32;MASCULINO;SOLTERO;ECUADOR;4;PISTOLA             ;EVASION DE LA JUSTICIA
ZONA 1;SUCUMBIOS;SHUSHUFINDI;SHUSHUFINDI;SHUSHUFINDI CENTRO;8/5/2014;19:20;Homicidios;30;MASCULINO;SOLTERO;ECUADOR;0;PISTOLA             ;RIÑAS
ZONA 8;GUAYAS;GUAYAQUIL;9 DE OCTUBRE;CHILE;8/5/2014;22:45;Homicidios;23;MASCULINO;SOLTERO;ECUADOR;0;PISTOLA             ;RIÑAS
ZONA 9;PICHINCHA;QUITO;LA DELICIA;LA ROLDOS;8/5/2014;23:00;Homicidios;19;FEMENINO;SOLTERO;ECUADOR;2;PISTOLA             ;RIÑAS
ZONA 5;LOS_RIOS;QUEVEDO;QUEVEDO;CONTROL;9/5/2014;11:30;Asesinatos;27;MASCULINO;SOLTERO;ECUADOR;18;PISTOLA             ;AMENAZA
ZONA 1;ESMERALDAS;ESMERALDAS;ESMERALDAS;GUACHARACA;10/5/2014;2:30;Asesinatos;41;FEMENINO;SOLTERO;ECUADOR;15;MACHETE             ;RIÑAS
ZONA 8;GUAYAS;GUAYAQUIL;FLORIDA;MARTHA DE ROLDOS;9/5/2014;15:30;Asesinatos;20;FEMENINO;SOLTERO;ECUADOR;6;ESCOPETA            ;SENTIMENTAL
ZONA 8;GUAYAS;GUAYAQUIL;FLORIDA;MARTHA DE ROLDOS;9/5/2014;15:30;Homicidios;3;FEMENINO;SOLTERO;ECUADOR;12;CORTO PUNZANTE;AMENAZA
ZONA 6;AZUAY;CUENCA;CUENCA SUR;MOLLETURO;10/5/2014;3:00;Asesinatos;24;MASCULINO;SOLTERO;ECUADOR;7;REVOLVER            ;RIÑAS
ZONA 8;GUAYAS;GUAYAQUIL;NUEVA PROSPERINA;MONTE SINAI;9/5/2014;12:00;Homicidios;17;MASCULINO;SOLTERO;ECUADOR;5;PISTOLA             ;AMENAZA
